Date, Open, High, Low, Close, Volume,Company
3/21/2024,372,372,371,371.25,300,KUKZ
3/20/2024,371,371,371,371,300,KUKZ
3/18/2024,375,375,372,374.75,1000,KUKZ
3/6/2024,371,371,371,371,700,KUKZ
2/20/2024,375,375,365,367.5,400,KUKZ
2/9/2024,385,385,385,385,300,KUKZ
2/8/2024,385,385,385,385,100,KUKZ
1/24/2024,364,364,364,364,100,KUKZ
1/23/2024,385,385,385,385,100,KUKZ
1/16/2024,360,360,360,360,100,KUKZ
1/8/2024,360,360,360,360,500,KUKZ
1/4/2024,385,385,385,385,200,KUKZ
12/7/2023,385,385,385,385,500,KUKZ
12/5/2023,406,406,406,406,100,KUKZ
12/4/2023,385,385,385,385,4000,KUKZ
11/30/2023,385,385,385,385,100,KUKZ
11/27/2023,387,387,385,386,400,KUKZ
11/17/2023,385,385,385,385,200,KUKZ
11/1/2023,403,403,403,403,100,KUKZ
10/26/2023,386,386,386,386,4300,KUKZ
10/24/2023,405,405,405,405,100,KUKZ
10/12/2023,406,406,406,406,300,KUKZ
10/11/2023,406,406,406,406,400,KUKZ
10/6/2023,406,406,406,406,100,KUKZ
10/5/2023,414,414,414,414,500,KUKZ
10/4/2023,415,415,415,415,100,KUKZ
10/3/2023,415,415,415,415,100,KUKZ
10/2/2023,385,385,385,385,1000,KUKZ
9/21/2023,385,385,385,385,800,KUKZ
9/20/2023,415,415,415,415,100,KUKZ
9/8/2023,384.75,384.75,384.75,384.75,100,KUKZ
9/1/2023,400,400,380,384.75,900,KUKZ
8/31/2023,390,390,390,390,200,KUKZ
8/28/2023,400,400,400,400,100,KUKZ
8/25/2023,390,390,385,389,1000,KUKZ
8/17/2023,389,418,389,403.5,200,KUKZ
8/9/2023,400,400,386.25,387.75,1000,KUKZ
8/4/2023,418,418,418,418,100,KUKZ
8/3/2023,418,418,418,418,1000,KUKZ
7/26/2023,382,382,382,382,600,KUKZ
7/25/2023,384.5,384.5,381,382.5,800,KUKZ
7/24/2023,385,385,382,384.5,2000,KUKZ
7/10/2023,418,418,418,418,100,KUKZ
7/7/2023,418,418,418,418,100,KUKZ
7/6/2023,390,390,390,390,100,KUKZ
6/29/2023,382.5,382.5,382.5,382.5,100,KUKZ
6/27/2023,382,382,382,382,700,KUKZ
6/14/2023,418,418,418,418,100,KUKZ
6/13/2023,380,380,380,380,100,KUKZ
6/9/2023,390,400,390,395.5,900,KUKZ
6/7/2023,420,420,420,420,400,KUKZ
6/6/2023,420,420,420,420,800,KUKZ
6/2/2023,395,395,395,395,200,KUKZ
5/30/2023,419,419,419,419,200,KUKZ
5/29/2023,415,415,415,415,100,KUKZ
5/26/2023,425,425,415,422.25,700,KUKZ
5/18/2023,429.75,429.75,429.75,429.75,100,KUKZ
5/16/2023,399,399,399,399,100,KUKZ
5/11/2023,430,430,430,430,200,KUKZ
5/9/2023,425,425,425,425,100,KUKZ
5/8/2023,430,430,430,430,200,KUKZ
5/5/2023,430,430,426,428,200,KUKZ
5/4/2023,430,430,430,430,200,KUKZ
