Date, Open, High, Low, Close, Volume
03/21/24, 372.00, 372.00, 371.00, 371.25, 300
03/20/24, 371.00, 371.00, 371.00, 371.00, 300
03/18/24, 375.00, 375.00, 372.00, 374.75, 1000
03/06/24, 371.00, 371.00, 371.00, 371.00, 700
02/20/24, 375.00, 375.00, 365.00, 367.50, 400
02/09/24, 385.00, 385.00, 385.00, 385.00, 300
02/08/24, 385.00, 385.00, 385.00, 385.00, 100
01/24/24, 364.00, 364.00, 364.00, 364.00, 100
01/23/24, 385.00, 385.00, 385.00, 385.00, 100
01/16/24, 360.00, 360.00, 360.00, 360.00, 100
01/08/24, 360.00, 360.00, 360.00, 360.00, 500
01/04/24, 385.00, 385.00, 385.00, 385.00, 200
12/07/23, 385.00, 385.00, 385.00, 385.00, 500
12/05/23, 406.00, 406.00, 406.00, 406.00, 100
12/04/23, 385.00, 385.00, 385.00, 385.00, 4000
11/30/23, 385.00, 385.00, 385.00, 385.00, 100
11/27/23, 387.00, 387.00, 385.00, 386.00, 400
11/17/23, 385.00, 385.00, 385.00, 385.00, 200
11/01/23, 403.00, 403.00, 403.00, 403.00, 100
10/26/23, 386.00, 386.00, 386.00, 386.00, 4300
10/24/23, 405.00, 405.00, 405.00, 405.00, 100
10/12/23, 406.00, 406.00, 406.00, 406.00, 300
10/11/23, 406.00, 406.00, 406.00, 406.00, 400
10/06/23, 406.00, 406.00, 406.00, 406.00, 100
10/05/23, 414.00, 414.00, 414.00, 414.00, 500
10/04/23, 415.00, 415.00, 415.00, 415.00, 100
10/03/23, 415.00, 415.00, 415.00, 415.00, 100
10/02/23, 385.00, 385.00, 385.00, 385.00, 1000
09/21/23, 385.00, 385.00, 385.00, 385.00, 800
09/20/23, 415.00, 415.00, 415.00, 415.00, 100
09/08/23, 384.75, 384.75, 384.75, 384.75, 100
09/01/23, 400.00, 400.00, 380.00, 384.75, 900
08/31/23, 390.00, 390.00, 390.00, 390.00, 200
08/28/23, 400.00, 400.00, 400.00, 400.00, 100
08/25/23, 390.00, 390.00, 385.00, 389.00, 1000
08/17/23, 389.00, 418.00, 389.00, 403.50, 200
08/09/23, 400.00, 400.00, 386.25, 387.75, 1000
08/04/23, 418.00, 418.00, 418.00, 418.00, 100
08/03/23, 418.00, 418.00, 418.00, 418.00, 1000
07/26/23, 382.00, 382.00, 382.00, 382.00, 600
07/25/23, 384.50, 384.50, 381.00, 382.50, 800
07/24/23, 385.00, 385.00, 382.00, 384.50, 2000
07/10/23, 418.00, 418.00, 418.00, 418.00, 100
07/07/23, 418.00, 418.00, 418.00, 418.00, 100
07/06/23, 390.00, 390.00, 390.00, 390.00, 100
06/29/23, 382.50, 382.50, 382.50, 382.50, 100
06/27/23, 382.00, 382.00, 382.00, 382.00, 700
06/14/23, 418.00, 418.00, 418.00, 418.00, 100
06/13/23, 380.00, 380.00, 380.00, 380.00, 100
06/09/23, 390.00, 400.00, 390.00, 395.50, 900
06/07/23, 420.00, 420.00, 420.00, 420.00, 400
06/06/23, 420.00, 420.00, 420.00, 420.00, 800
06/02/23, 395.00, 395.00, 395.00, 395.00, 200
05/30/23, 419.00, 419.00, 419.00, 419.00, 200
05/29/23, 415.00, 415.00, 415.00, 415.00, 100
05/26/23, 425.00, 425.00, 415.00, 422.25, 700
05/18/23, 429.75, 429.75, 429.75, 429.75, 100
05/16/23, 399.00, 399.00, 399.00, 399.00, 100
05/11/23, 430.00, 430.00, 430.00, 430.00, 200
05/09/23, 425.00, 425.00, 425.00, 425.00, 100
05/08/23, 430.00, 430.00, 430.00, 430.00, 200
05/05/23, 430.00, 430.00, 426.00, 428.00, 200
05/04/23, 430.00, 430.00, 430.00, 430.00, 200
05/03/23, 426.00, 426.00, 426.00, 426.00, 100
04/28/23, 424.50, 424.50, 424.50, 424.50, 100
04/27/23, 386.00, 386.00, 386.00, 386.00, 1000
04/26/23, 351.00, 351.00, 351.00, 351.00, 100
04/24/23, 319.25, 319.25, 319.25, 319.25, 100
04/17/23, 290.25, 290.25, 290.25, 290.25, 100
03/30/23, 264.00, 264.00, 264.00, 264.00, 100
03/22/23, 240.00, 240.00, 240.00, 240.00, 2000
03/17/23, 385.50, 385.50, 380.00, 384.25, 1000
03/13/23, 385.50, 385.50, 385.50, 385.50, 100
03/03/23, 401.00, 401.00, 400.00, 400.25, 400
02/27/23, 383.00, 383.00, 383.00, 383.00, 2300
02/24/23, 386.00, 386.00, 380.00, 382.50, 700
02/21/23, 415.00, 415.00, 415.00, 415.00, 200
02/20/23, 415.00, 415.00, 415.00, 415.00, 200
02/16/23, 415.00, 415.00, 415.00, 415.00, 100
02/15/23, 386.00, 386.00, 386.00, 386.00, 400
02/14/23, 415.00, 415.00, 415.00, 415.00, 300
02/13/23, 420.00, 420.00, 415.00, 418.25, 600
02/07/23, 400.00, 400.00, 400.00, 400.00, 700
02/02/23, 405.00, 405.00, 405.00, 405.00, 100
01/31/23, 406.00, 406.00, 406.00, 406.00, 200
01/27/23, 420.00, 420.00, 420.00, 420.00, 400
01/26/23, 420.00, 420.00, 420.00, 420.00, 400
01/20/23, 420.00, 420.00, 406.00, 418.25, 800
01/18/23, 420.00, 420.00, 420.00, 420.00, 100
01/12/23, 386.50, 386.50, 385.25, 385.25, 4600
12/29/22, 385.00, 385.00, 385.00, 385.00, 300
12/23/22, 390.00, 390.00, 390.00, 390.00, 100
12/21/22, 418.00, 418.00, 418.00, 418.00, 100
12/20/22, 420.00, 420.00, 420.00, 420.00, 400
12/13/22, 420.00, 420.00, 420.00, 420.00, 1500
12/09/22, 420.00, 420.00, 420.00, 420.00, 100
11/29/22, 418.00, 418.00, 418.00, 418.00, 100
11/21/22, 380.00, 380.00, 380.00, 380.00, 100
11/18/22, 390.00, 390.00, 390.00, 390.00, 700
11/17/22, 420.00, 420.00, 420.00, 420.00, 200
11/15/22, 420.00, 420.00, 420.00, 420.00, 200
11/14/22, 420.00, 420.00, 420.00, 420.00, 100
11/10/22, 420.00, 420.00, 420.00, 420.00, 200
11/09/22, 420.00, 420.00, 420.00, 420.00, 400
11/04/22, 410.00, 420.00, 410.00, 415.00, 400
11/02/22, 410.00, 410.00, 410.00, 410.00, 100
10/28/22, 420.00, 420.00, 420.00, 420.00, 200
10/26/22, 420.00, 420.00, 420.00, 420.00, 100
10/21/22, 420.00, 420.00, 420.00, 420.00, 500
10/19/22, 390.00, 390.00, 390.00, 390.00, 1000
10/17/22, 420.00, 420.00, 420.00, 420.00, 200
10/07/22, 420.00, 420.00, 420.00, 420.00, 400
10/06/22, 420.00, 420.00, 420.00, 420.00, 3700
10/05/22, 420.00, 420.00, 420.00, 420.00, 100
10/04/22, 394.50, 394.50, 394.50, 394.50, 700
10/03/22, 394.50, 394.50, 394.50, 394.50, 600
09/30/22, 394.25, 394.50, 394.25, 394.50, 400
09/28/22, 390.00, 394.50, 390.00, 393.50, 400
09/26/22, 390.00, 390.00, 390.00, 390.00, 300
09/16/22, 390.00, 390.00, 390.00, 390.00, 300
09/14/22, 390.00, 390.00, 390.00, 390.00, 600
09/12/22, 398.00, 398.00, 390.00, 394.00, 200
09/06/22, 368.00, 368.00, 368.00, 368.00, 100
09/05/22, 399.00, 399.00, 399.00, 399.00, 200
09/02/22, 399.00, 399.00, 399.00, 399.00, 100
09/01/22, 399.00, 399.00, 399.00, 399.00, 700
08/29/22, 400.00, 400.00, 399.50, 399.75, 1000
08/26/22, 400.00, 400.00, 400.00, 400.00, 100
08/23/22, 400.00, 400.00, 400.00, 400.00, 300
08/19/22, 368.25, 368.25, 368.25, 368.25, 1900
08/17/22, 400.00, 400.00, 400.00, 400.00, 1100
08/15/22, 400.00, 400.00, 400.00, 400.00, 100
08/03/22, 368.25, 368.25, 368.25, 368.25, 1500
07/28/22, 370.00, 370.00, 365.00, 367.50, 200
07/22/22, 400.00, 400.00, 400.00, 400.00, 100
07/19/22, 405.00, 405.00, 405.00, 405.00, 100
07/12/22, 390.00, 429.00, 390.00, 409.50, 200
07/08/22, 397.50, 397.50, 390.00, 390.00, 428100
07/06/22, 399.00, 399.00, 397.25, 397.50, 1100
06/27/22, 450.00, 450.00, 424.00, 441.25, 300
06/20/22, 424.00, 424.00, 424.00, 424.00, 100
06/09/22, 424.00, 424.00, 424.00, 424.00, 100
06/06/22, 386.00, 386.00, 386.00, 386.00, 100
05/20/22, 440.00, 440.00, 400.00, 402.00, 2000
05/19/22, 400.00, 400.00, 400.00, 400.00, 100
04/25/22, 400.00, 400.00, 400.00, 400.00, 900
04/22/22, 427.00, 427.00, 400.00, 409.00, 300
04/20/22, 427.00, 427.00, 427.00, 427.00, 100
04/14/22, 424.50, 424.50, 424.50, 424.50, 200
03/31/22, 424.50, 424.50, 424.50, 424.50, 200
03/29/22, 425.00, 425.00, 425.00, 425.00, 400
03/23/22, 415.00, 415.00, 415.00, 415.00, 300
02/28/22, 415.00, 415.00, 415.00, 415.00, 300
02/22/22, 415.00, 415.00, 415.00, 415.00, 100
02/18/22, 415.00, 415.00, 390.00, 392.50, 1000
02/16/22, 415.00, 415.00, 415.00, 415.00, 100
02/11/22, 410.00, 410.00, 410.00, 410.00, 100
02/09/22, 418.00, 418.00, 418.00, 418.00, 100
02/07/22, 418.00, 418.00, 418.00, 418.00, 200
02/01/22, 418.00, 418.00, 418.00, 418.00, 200
01/25/22, 418.00, 418.00, 418.00, 418.00, 100
01/20/22, 419.00, 419.00, 419.00, 419.00, 100
01/18/22, 385.00, 385.00, 385.00, 385.00, 400
01/11/22, 385.00, 385.00, 385.00, 385.00, 300
01/05/22, 420.00, 420.00, 420.00, 420.00, 100
12/15/21, 385.50, 385.50, 385.00, 385.00, 61600
11/24/21, 423.50, 423.50, 423.50, 423.50, 200
11/16/21, 385.00, 385.00, 385.00, 385.00, 100
11/11/21, 415.00, 415.00, 415.00, 415.00, 200
11/10/21, 385.00, 385.00, 385.00, 385.00, 100
11/02/21, 385.00, 385.00, 385.00, 385.00, 100
11/01/21, 415.00, 415.00, 415.00, 415.00, 100
10/27/21, 385.00, 385.00, 385.00, 385.00, 100
09/30/21, 385.25, 385.25, 383.00, 384.50, 300
09/27/21, 390.00, 390.00, 390.00, 390.00, 100
09/24/21, 390.00, 390.00, 390.00, 390.00, 100
09/08/21, 385.25, 385.25, 385.25, 385.25, 100
09/06/21, 383.00, 383.00, 383.00, 383.00, 100
09/01/21, 383.25, 383.25, 383.25, 383.25, 100
08/31/21, 410.00, 410.00, 410.00, 410.00, 100
08/23/21, 415.00, 415.00, 415.00, 415.00, 100
08/19/21, 382.00, 382.00, 382.00, 382.00, 100
08/17/21, 415.00, 415.00, 415.00, 415.00, 100
08/16/21, 415.00, 415.00, 415.00, 415.00, 100
08/10/21, 415.00, 415.00, 415.00, 415.00, 100
07/30/21, 415.00, 415.00, 415.00, 415.00, 100
07/29/21, 410.00, 410.00, 410.00, 410.00, 100
07/28/21, 410.00, 410.00, 371.00, 397.00, 300
07/27/21, 410.00, 410.00, 410.00, 410.00, 100
07/15/21, 372.75, 372.75, 372.75, 372.75, 100
07/09/21, 375.50, 375.50, 370.00, 372.75, 600
07/01/21, 405.00, 405.00, 405.00, 405.00, 200
06/30/21, 405.00, 405.00, 405.00, 405.00, 200
06/28/21, 405.00, 405.00, 405.00, 405.00, 100
06/25/21, 405.00, 405.00, 405.00, 405.00, 100
06/22/21, 405.00, 405.00, 405.00, 405.00, 200
06/17/21, 380.00, 380.00, 380.00, 380.00, 6100
06/16/21, 385.00, 385.00, 385.00, 385.00, 1000
06/14/21, 405.00, 405.00, 405.00, 405.00, 100
06/02/21, 380.00, 380.00, 380.00, 380.00, 100
05/06/21, 360.00, 360.00, 360.00, 360.00, 1100
05/05/21, 360.00, 360.00, 360.00, 360.00, 100
04/30/21, 355.00, 360.00, 355.00, 358.25, 300
04/14/21, 355.00, 355.00, 355.00, 355.00, 100
04/06/21, 351.00, 351.00, 351.00, 351.00, 300
03/29/21, 355.00, 355.00, 355.00, 355.00, 100
03/24/21, 355.00, 355.00, 355.00, 355.00, 1000
03/23/21, 362.00, 362.00, 362.00, 362.00, 500
03/18/21, 360.00, 360.00, 360.00, 360.00, 100
03/17/21, 365.00, 365.00, 365.00, 365.00, 100
03/12/21, 365.00, 365.00, 365.00, 365.00, 100
03/02/21, 365.00, 365.00, 365.00, 365.00, 200
03/01/21, 371.00, 371.00, 371.00, 371.00, 100
02/24/21, 370.00, 370.00, 370.00, 370.00, 1100
02/09/21, 370.00, 370.00, 370.00, 370.00, 100
02/08/21, 365.00, 365.00, 365.00, 365.00, 200
02/03/21, 370.00, 370.00, 370.00, 370.00, 100
01/25/21, 365.00, 365.00, 365.00, 365.00, 100
01/14/21, 370.00, 370.00, 370.00, 370.00, 100
12/28/20, 365.00, 365.00, 365.00, 365.00, 100
12/22/20, 370.00, 370.00, 370.00, 370.00, 100
12/03/20, 365.00, 365.00, 365.00, 365.00, 100
11/23/20, 365.00, 365.00, 365.00, 365.00, 100
11/12/20, 365.00, 365.00, 365.00, 365.00, 100
11/11/20, 373.00, 380.00, 365.00, 368.50, 2300
11/09/20, 365.00, 365.00, 365.00, 365.00, 100
11/06/20, 370.00, 375.00, 370.00, 372.50, 200
11/05/20, 375.00, 375.00, 370.00, 370.75, 1000
11/02/20, 370.00, 370.00, 370.00, 370.00, 100
10/29/20, 370.00, 370.00, 370.00, 370.00, 100
10/28/20, 370.00, 370.00, 370.00, 370.00, 100
10/27/20, 375.00, 375.00, 375.00, 375.00, 100
10/23/20, 375.00, 375.00, 375.00, 375.00, 100
10/22/20, 380.00, 380.00, 380.00, 380.00, 100
10/16/20, 380.00, 380.00, 380.00, 380.00, 100
10/13/20, 380.00, 380.00, 380.00, 380.00, 700
